,cluster_id,depth,latitude,longitude,utc_timestamp
0,1,1.667,-21.25619,64.04906,1420124564
1,1,6.785,-21.17327,63.91296,1420160749
2,4,13.292,-21.94794,63.94791,1420181023
3,0,7.715,-22.95182,63.74311,1420183599
4,1,5.792,-21.24998,64.11183,1420240606
5,3,4.693,-21.39508,64.0531,1420294417
6,1,3.093,-21.25622,64.05124,1420313469
7,2,7.966,-23.44392,63.65428,1420319137
8,2,7.714,-23.48723,63.63906,1420329746
9,2,0.135,-23.37652,63.62883,1420329982
10,2,9.995,-23.39463,63.6343,1420330994
11,2,11.154,-23.47707,63.64317,1420335474
12,2,10.005,-23.41266,63.60298,1420335485
13,2,1.158,-23.3723,63.68757,1420336206
14,1,5.462,-21.17864,64.06491,1420349408
15,1,5.937,-21.26414,64.05568,1420354574
16,3,7.28,-21.43453,64.02089,1420356913
17,1,5.571,-21.26862,64.05162,1420364198
18,1,7.724,-21.15369,63.93864,1420426878
19,3,2.827,-21.49562,64.03677,1420495324
20,3,2.887,-21.39541,64.04289,1420557269
21,1,5.417,-21.16887,63.91594,1420565858
22,1,6.762,-21.08109,63.94886,1420566660
23,1,8.307,-21.13601,63.95572,1420570198
24,3,13.288,-21.63747,63.54586,1420595378
25,3,5.521,-21.4126,63.95964,1420837887
26,1,6.584,-21.24586,63.95351,1420865678
27,1,5.45,-21.18932,63.91034,1420876992
28,1,2.622,-21.18686,64.02493,1420879745
29,1,3.773,-21.32213,63.96898,1420891516
30,1,7.47,-21.24735,63.95915,1420911422
31,3,5.741,-21.52528,63.9962,1420911949
32,3,1.572,-21.33877,63.98394,1420940000
33,1,4.175,-21.23952,64.04712,1420957604
34,3,7.271,-21.41641,64.03301,1420970187
35,3,6.53,-21.57635,64.02956,1421131105
36,3,6.451,-21.5749,64.03287,1421132499
37,3,4.688,-21.39311,64.0539,1421190902
38,4,8.172,-22.05076,63.90522,1421295261
39,2,10.858,-23.27098,63.64642,1421317381
40,1,4.574,-21.23945,64.04982,1421333381
41,4,5.96,-22.01877,63.90844,1421340672
42,4,7.572,-22.04745,63.91305,1421341909
43,1,5.425,-21.22018,64.12339,1421346233
44,4,6.834,-22.02791,63.90931,1421348409
45,4,8.23,-22.04724,63.90737,1421354570
46,4,7.344,-22.04068,63.91008,1421370697
47,1,7.382,-21.18304,63.9255,1421371322
48,4,7.782,-22.03615,63.90605,1421385557
49,4,6.897,-22.03443,63.90767,1421392906
50,4,7.225,-22.04428,63.90093,1421420794
51,4,9.013,-22.00188,63.91809,1421436618
52,4,5.14,-22.08515,63.90335,1421438243
53,0,5.968,-22.76449,63.80735,1421447008
54,0,6.491,-22.7835,63.79625,1421447016
55,0,6.102,-22.77399,63.80192,1421447696
56,0,6.518,-22.78968,63.79327,1421447714
57,0,6.12,-22.76274,63.79466,1421447719
58,0,6.287,-22.78918,63.79643,1421451148
59,4,8.196,-22.04866,63.90711,1421481853
60,3,8.219,-21.43332,63.94512,1421488392
61,1,6.278,-21.17518,63.92043,1421492594
62,3,7.355,-21.4438,63.91959,1421546853
63,1,5.972,-21.29839,63.952,1421565683
64,4,7.7,-21.92763,63.89762,1421571167
65,3,8.299,-21.47136,63.92156,1421589306
66,1,7.471,-21.14019,63.94633,1421622009
67,3,6.372,-21.50595,63.99813,1421682430
68,4,6.952,-21.91516,63.90092,1421691960
69,3,7.039,-21.56311,63.94561,1421757837
70,1,7.087,-21.11017,64.07518,1421766680
71,1,4.307,-21.15077,64.03881,1421807493
72,4,7.051,-22.01906,63.91212,1421829941
73,4,9.892,-22.03765,63.90673,1421829955
74,4,8.834,-22.03073,63.90643,1421829983
75,4,7.139,-22.01764,63.90662,1421838402
76,4,9.026,-22.0,63.91049,1421846722
77,1,6.842,-21.14649,63.97799,1421846883
78,4,2.235,-22.0209,63.92619,1421897500
79,4,6.079,-22.00303,63.91708,1421897548
80,4,7.266,-22.00896,63.91488,1421897951
81,3,5.05,-21.5402,64.03159,1421955582
82,3,4.422,-21.52926,64.03892,1421956829
83,3,5.499,-21.55943,64.03012,1421957360
84,3,5.107,-21.53673,64.02963,1421960010
85,3,4.143,-21.54076,64.02068,1421960432
86,3,4.807,-21.54194,64.02805,1421962758
87,3,5.22,-21.54845,64.02438,1421962790
88,3,4.777,-21.5338,64.03146,1421967416
89,3,4.952,-21.53547,64.03249,1421968214
90,3,3.837,-21.53045,64.02645,1421968832
91,3,4.227,-21.51483,64.0341,1421969510
92,3,5.254,-21.54481,64.03535,1421969584
93,3,5.679,-21.5614,64.03036,1421969706
94,3,3.871,-21.52515,64.02615,1421970393
95,3,5.072,-21.53608,64.03659,1421970812
96,3,7.483,-21.34798,63.94949,1422005149
97,3,3.433,-21.3953,64.05408,1422111000
98,1,8.632,-21.25656,64.11349,1422149367
99,1,8.341,-21.25913,64.11344,1422149533
100,3,5.956,-21.54303,64.02821,1422256612
101,3,6.145,-21.38153,63.94414,1422476905
102,4,10.311,-21.72578,63.93592,1422499167
103,0,4.963,-22.62768,63.85585,1422516522
104,3,2.827,-21.38141,64.0533,1422519715
105,2,5.005,-23.28951,63.68375,1422525969
106,2,5.005,-23.25389,63.68841,1422530902
107,2,7.219,-23.26055,63.68988,1422535276
108,1,5.86,-21.23605,64.04707,1422535574
109,4,7.793,-21.75837,63.96093,1422560838
110,4,9.386,-21.76427,63.95811,1422560897
111,4,9.838,-21.76505,63.95565,1422560978
112,4,9.29,-21.77089,63.95636,1422561060
113,4,8.327,-21.75882,63.94952,1422561094
114,4,10.098,-21.75984,63.95816,1422561202
115,4,9.828,-21.76108,63.9578,1422561316
116,4,9.475,-21.76435,63.95565,1422561420
117,4,0.919,-21.72784,63.95982,1422561670
118,4,9.289,-21.75972,63.9542,1422561686
119,4,4.184,-21.7595,63.96262,1422562939
120,4,6.436,-21.76025,63.95378,1422566620
121,2,10.145,-23.29342,63.69817,1422568804
122,2,11.886,-23.28322,63.69795,1422569791
123,4,10.325,-21.76329,63.95825,1422571166
124,2,11.596,-23.30609,63.70049,1422571386
125,4,6.37,-21.75046,63.95785,1422572522
126,4,9.405,-21.76245,63.95599,1422572952
127,2,19.315,-23.25707,63.71652,1422573677
128,2,12.369,-23.26567,63.69149,1422573878
129,2,12.765,-23.28994,63.69272,1422573911
130,4,7.289,-21.7679,63.96416,1422574062
131,2,12.464,-23.26884,63.70534,1422574328
132,2,10.513,-23.29461,63.68449,1422574659
133,2,13.987,-23.20497,63.65569,1422574957
134,2,14.39,-23.26292,63.69787,1422575409
135,2,13.176,-23.28457,63.69781,1422575656
136,2,14.825,-23.26223,63.70225,1422575775
137,2,7.266,-23.26362,63.71112,1422576264
138,2,5.005,-23.29521,63.67605,1422576688
139,2,11.966,-23.08952,63.60767,1422577433
140,2,10.275,-23.28262,63.69711,1422578053
141,2,8.549,-23.27832,63.68685,1422578311
142,2,9.621,-23.2474,63.66893,1422578913
143,2,11.849,-23.25707,63.72338,1422579235
144,2,11.448,-23.28312,63.69581,1422580837
145,2,10.834,-23.27386,63.68325,1422580951
146,2,14.583,-23.25457,63.6884,1422581970
147,2,8.9,-23.25204,63.66321,1422582426
148,4,8.86,-21.75677,63.96026,1422582711
149,0,7.576,-22.85251,63.77524,1422582805
150,0,6.125,-22.84934,63.76708,1422582874
151,2,14.869,-23.25362,63.67294,1422583985
152,2,23.937,-23.30157,63.69188,1422584175
153,4,10.127,-21.76733,63.95939,1422584567
154,2,12.721,-23.27863,63.70471,1422585791
155,4,8.056,-21.75699,63.96083,1422589459
156,4,10.626,-21.77734,63.95431,1422589464
157,2,12.581,-23.26348,63.70234,1422589675
158,4,9.617,-21.75963,63.95935,1422590005
159,2,10.713,-23.3025,63.68939,1422591344
160,2,9.629,-23.24462,63.6928,1422591504
161,4,9.553,-21.75977,63.959,1422592200
162,4,8.159,-21.74699,63.95831,1422593340
163,4,8.772,-21.75086,63.96553,1422593343
164,2,11.994,-23.28106,63.70388,1422596203
165,2,12.328,-23.27144,63.69835,1422596267
166,4,10.347,-21.76893,63.95571,1422604337
167,2,14.068,-23.27206,63.70835,1422607286
168,3,0.008,-21.69633,63.97253,1422608095
169,4,7.756,-21.75706,63.95567,1422609670
170,1,6.746,-21.22446,64.04947,1422613063
171,2,6.776,-23.28475,63.70223,1422613907
172,4,10.057,-21.76496,63.95872,1422617529
173,4,5.393,-22.10555,63.87568,1422624046
174,1,8.147,-21.1598,63.91925,1422639927
175,2,11.592,-23.2731,63.69486,1422640626
176,2,12.274,-23.25266,63.69398,1422640930
177,2,7.054,-23.2562,63.70327,1422642071
178,2,9.05,-23.28802,63.67155,1422643518
179,2,11.945,-23.24569,63.6636,1422644374
180,1,8.548,-21.17375,63.90922,1422644376
181,4,10.159,-21.75855,63.95695,1422659351
182,4,5.027,-22.08627,63.91,1422675415
183,4,4.851,-22.07623,63.90844,1422682875
184,4,4.243,-22.06433,63.88594,1422683227
185,1,7.689,-21.23486,64.06478,1422685693
186,1,5.329,-21.24038,64.06466,1422686022
187,4,10.081,-21.77528,63.95794,1422690478
188,2,0.082,-23.13955,63.62951,1422695227
189,4,9.04,-21.76143,63.95839,1422695842
190,3,4.587,-21.41758,64.0167,1422697049
191,3,2.947,-21.4133,64.02261,1422697052
192,3,4.444,-21.41151,64.02197,1422697449
193,3,4.876,-21.41437,64.02047,1422697700
194,3,4.838,-21.4134,64.02193,1422697872
195,3,4.387,-21.41653,64.02184,1422697983
196,3,4.597,-21.41293,64.02136,1422698069
197,3,4.308,-21.41199,64.02079,1422698109
198,3,5.798,-21.54245,64.035,1422699113
199,3,2.054,-21.40475,64.01992,1422700524
200,0,6.864,-22.79067,63.80449,1422716622
201,3,7.469,-21.37509,63.94415,1422736204
202,4,3.238,-22.08469,63.8816,1422739121
203,4,3.398,-22.06783,63.88308,1422740754
204,1,5.959,-21.16627,63.92086,1422745579
205,0,0.209,-22.71836,63.83656,1422794766
206,3,4.209,-21.68251,63.94679,1422801091
207,4,10.421,-21.7626,63.95462,1422812713
208,4,7.679,-21.76889,63.9521,1422834489
209,0,4.764,-22.79943,63.76847,1422865145
210,5,6.248,-22.23019,63.90346,1422895580
211,1,4.81,-21.19436,64.06001,1422898889
212,0,3.783,-22.65995,63.86013,1422900363
213,4,7.825,-21.76811,63.95469,1422904929
214,4,7.321,-21.77477,63.95473,1422929177
215,4,9.249,-21.99604,63.9256,1422934533
216,1,3.815,-21.16911,63.90207,1422935969
217,4,8.201,-21.77679,63.95224,1422936742
218,1,4.434,-21.16501,64.05859,1422946503
219,0,3.111,-22.80541,63.82516,1422952606
220,1,5.46,-21.18365,64.06154,1422964350
221,4,9.511,-21.76454,63.95699,1422981443
222,1,4.273,-21.15578,64.03841,1423018650
223,1,5.311,-21.11174,64.04446,1423044217
224,1,6.38,-21.15359,63.92797,1423111860
225,2,10.005,-23.98994,63.6709,1423179544
226,1,3.745,-21.15094,64.03773,1423242212
227,4,3.443,-22.0607,63.86821,1423260619
228,1,5.7,-21.32664,63.94747,1423317767
229,1,1.336,-21.15471,63.9249,1423357108
230,1,3.86,-21.26394,64.05065,1423427796
231,3,3.785,-21.39985,64.02016,1423436733
232,4,6.808,-21.96042,63.88738,1423476274
233,3,6.115,-21.54607,63.97729,1423496079
234,4,8.032,-22.06448,63.91971,1423525040
235,0,5.155,-22.70053,63.80161,1423549873
236,0,4.887,-22.70642,63.80941,1423551340
237,4,6.797,-22.04935,63.90082,1423634064
238,1,4.498,-21.16456,64.03636,1423637333
239,2,5.005,-23.31528,63.53596,1423691978
240,1,5.645,-21.27784,64.10154,1423761168
241,3,3.41,-21.61729,64.00141,1423818478
242,3,2.361,-21.61283,63.99624,1423845238
243,1,6.815,-21.13675,63.95377,1423847135
244,1,8.193,-21.14684,63.94954,1423848060
245,2,3.441,-23.26384,63.65305,1423851827
246,1,3.965,-21.24272,64.04687,1423867064
247,2,1.441,-23.26504,63.67152,1423867831
248,1,6.418,-21.17202,63.91619,1423877411
249,1,3.269,-21.17274,63.85593,1423894629
250,1,3.571,-21.21532,64.04336,1423929091
251,3,3.13,-21.37132,64.05337,1423988167
252,4,5.295,-22.03464,63.89141,1424002821
253,4,5.718,-22.01964,63.87729,1424017573
254,1,6.115,-21.23431,64.05093,1424045651
255,2,11.336,-23.3472,63.65379,1424049394
256,1,7.287,-21.23387,64.10965,1424059077
257,3,7.432,-21.53146,63.93929,1424077884
258,2,6.262,-23.23059,63.66082,1424093351
259,1,5.703,-21.2552,64.06235,1424100221
260,4,5.342,-22.06013,63.88113,1424176042
261,1,4.795,-21.26111,64.0537,1424182001
262,4,4.353,-22.09952,63.90126,1424204028
263,2,1.348,-23.31333,63.59735,1424214128
264,2,0.135,-23.14778,63.70798,1424218719
265,0,5.845,-22.76781,63.81875,1424226988
266,0,0.201,-22.66895,63.85071,1424230905
267,1,5.81,-21.15772,64.09981,1424291673
268,1,4.566,-21.15438,64.0302,1424328327
269,3,4.732,-21.52989,64.05155,1424402558
270,3,1.06,-21.36798,64.05346,1424404379
271,3,4.031,-21.38516,64.0535,1424411248
272,3,3.592,-21.38248,64.03722,1424411311
273,3,3.976,-21.38618,64.05103,1424411375
274,3,2.59,-21.37284,64.05809,1424411703
275,3,0.135,-21.38225,64.07204,1424412988
276,3,6.595,-21.39281,64.04432,1424422137
277,4,6.872,-22.09624,63.88594,1424443505
278,1,5.148,-21.24406,64.05061,1424554019
279,3,6.316,-21.39573,64.05641,1424560935
280,5,3.758,-22.33706,63.89339,1424607071
281,5,4.185,-22.33361,63.89493,1424607167
282,3,0.635,-21.3828,64.05991,1424697402
283,1,5.615,-21.19637,64.0606,1424751278
284,1,5.677,-21.19377,64.06167,1424751278
285,4,8.278,-22.00324,63.91473,1424773061
286,3,7.76,-21.47077,64.02073,1424816546
287,1,6.666,-21.18486,63.94282,1424830836
288,0,4.798,-22.9324,63.78157,1424846949
289,1,7.001,-21.17931,63.92692,1424900400
290,4,4.998,-21.97148,63.89329,1424923620
291,4,8.123,-22.02295,63.91626,1424923935
292,4,8.338,-22.02579,63.91469,1424923982
293,4,7.958,-22.02098,63.91568,1424924432
294,4,8.543,-22.02592,63.91497,1424926298
295,3,4.191,-21.38984,64.05145,1424928905
296,3,6.255,-21.39674,64.0472,1424928950
297,3,7.623,-21.40121,64.04109,1424929300
298,3,5.313,-21.3955,64.05157,1424929781
299,3,4.0,-21.38884,64.05161,1424929830
300,3,4.716,-21.39092,64.05137,1424930097
301,3,5.155,-21.39267,64.05306,1424930097
302,3,7.128,-21.40815,64.04276,1424934203
303,0,4.19,-22.72691,63.82319,1424952627
304,4,8.029,-22.02006,63.91509,1424953684
305,1,6.778,-21.14378,63.93485,1424974114
306,1,8.263,-21.13694,63.95658,1425005467
307,3,10.099,-21.71395,63.93476,1425023250
308,3,3.877,-21.39939,64.0535,1425034553
309,3,4.853,-21.40092,64.05897,1425035107
310,3,7.434,-21.41175,64.05023,1425035411
311,3,6.114,-21.40352,64.05472,1425035502
312,3,4.879,-21.39725,64.05147,1425035691
313,3,6.996,-21.35734,63.94493,1425045703
314,1,6.947,-21.25259,63.95922,1425055377
315,4,2.344,-22.12731,63.95622,1425065929
316,3,6.174,-21.34778,63.94504,1425070430
317,3,4.728,-21.39876,64.02667,1425083146
318,5,5.254,-22.32166,63.89468,1425091237
319,4,6.834,-22.01825,63.92186,1425100499
320,3,4.972,-21.42022,64.01203,1425141421
321,1,4.762,-21.2825,64.04872,1425145226
322,1,6.089,-21.27485,64.04983,1425146475
323,3,8.789,-21.44241,63.93845,1425205291
324,1,7.056,-21.24969,64.07021,1425228447
325,4,6.49,-22.03057,63.94033,1425229666
326,3,6.983,-21.34223,63.94701,1425251895
327,3,10.095,-21.60632,63.67647,1425268114
328,4,7.103,-21.97678,63.90611,1425296540
329,3,3.644,-21.36287,64.05521,1425300287
330,1,4.94,-21.30246,63.95015,1425304188
331,0,6.795,-22.74788,63.81021,1425309339
332,3,3.601,-21.39722,64.04936,1425332853
333,1,7.909,-21.18068,63.9263,1425334119
334,3,6.395,-21.35199,63.94527,1425334468
335,1,5.98,-21.23519,64.0536,1425347380
336,2,0.309,-23.11669,63.71951,1425348975
337,2,13.085,-23.19237,63.709,1425349280
338,2,12.092,-23.18281,63.71716,1425350360
339,1,8.067,-21.20522,63.95935,1425354832
340,2,12.306,-23.20115,63.71321,1425355254
341,2,16.042,-23.34696,63.65114,1425356768
342,2,10.13,-23.3293,63.65488,1425356912
343,2,12.008,-23.34847,63.66539,1425356972
344,2,7.52,-23.34804,63.6659,1425357345
345,2,10.081,-23.32641,63.68431,1425357365
346,2,12.726,-23.32437,63.65492,1425357542
347,2,5.118,-23.17771,63.62846,1425358762
348,2,15.858,-23.30883,63.68423,1425359752
349,2,5.47,-23.28941,63.65569,1425361125
350,2,0.553,-23.2516,63.71054,1425363993
351,2,9.044,-23.18721,63.72069,1425364792
352,4,5.667,-22.07486,63.89861,1425437589
353,2,9.382,-23.38515,63.68814,1425452925
354,4,6.639,-22.02737,63.91906,1425554633
355,3,7.647,-21.42112,64.03519,1425555037
356,4,6.91,-22.01518,63.90841,1425556812
357,2,10.802,-23.30309,63.62903,1425623555
358,3,6.349,-21.40096,64.05148,1425627486
359,4,8.264,-21.82728,63.95852,1425649619
360,3,7.54,-21.56794,64.00293,1425653094
361,3,7.445,-21.56658,63.99837,1425660504
362,4,7.393,-22.07109,63.90674,1425662339
363,4,4.458,-22.03998,63.91258,1425662346
364,3,5.264,-21.40328,64.0534,1425672249
365,3,3.785,-21.40358,64.02036,1425800061
366,3,2.968,-21.3995,64.01968,1425800207
367,5,7.336,-22.29444,63.8819,1425808948
368,4,9.391,-21.92745,63.89787,1425919426
369,4,9.983,-21.92438,63.89768,1425919455
370,3,7.795,-21.38026,64.05725,1425923376
371,4,4.383,-22.09927,63.85418,1425931681
372,1,7.183,-21.16317,63.93236,1426052418
373,2,12.313,-23.39543,63.66919,1426059644
374,1,8.008,-21.2643,63.93907,1426100140
375,1,3.78,-21.15633,64.0325,1426104112
376,3,5.797,-21.39728,64.05091,1426134053
377,1,8.626,-21.13457,63.95722,1426136933
378,4,5.499,-22.11854,63.89541,1426138017
379,2,14.982,-23.48251,63.66926,1426227924
380,3,3.225,-21.38555,64.05701,1426232446
381,3,4.904,-21.3944,64.05556,1426238749
382,3,4.368,-21.38288,64.05455,1426394120
383,3,8.766,-21.64171,63.98988,1426416638
384,3,1.154,-21.38638,64.0619,1426421662
385,2,10.175,-23.15292,63.709,1426542031
386,2,12.364,-23.23792,63.71703,1426548435
387,2,12.4,-23.33925,63.70407,1426554326
388,2,8.848,-23.28303,63.67569,1426559227
389,3,5.149,-21.39226,64.04894,1426562764
390,1,7.499,-21.16431,63.91812,1426622877
391,1,5.553,-21.32619,63.94202,1426644878
392,2,10.005,-23.83504,63.60829,1426649793
393,4,7.688,-21.98165,63.89518,1426676569
394,3,6.344,-21.34695,63.94616,1426689660
395,4,8.244,-22.00966,63.91788,1426692169
396,4,9.592,-22.01769,63.91488,1426693136
397,4,8.52,-22.01686,63.91555,1426694297
398,5,8.5,-22.41394,63.85105,1426736144
399,3,5.538,-21.39388,64.04942,1426751362
400,3,6.017,-21.38983,64.05089,1426751475
401,2,9.304,-23.48391,63.62228,1426778668
402,2,9.701,-23.48808,63.62851,1426778750
403,2,8.966,-23.4941,63.62165,1426778889
404,2,2.423,-23.35005,63.58426,1426779599
405,2,10.005,-23.29428,63.60349,1426780580
406,2,10.005,-23.38467,63.57256,1426780912
407,1,5.7,-21.07365,63.93811,1426803083
408,4,8.974,-21.76611,63.94842,1426809934
409,3,8.231,-21.38358,64.12456,1426813781
410,0,7.743,-22.81958,63.78902,1426878230
411,2,9.274,-23.08535,63.72341,1426897506
412,2,4.461,-23.04996,63.74953,1426902881
413,2,11.35,-23.11171,63.74246,1426902937
414,0,10.617,-22.9903,63.72398,1426905439
415,0,10.059,-22.98475,63.70922,1426905440
416,2,11.252,-23.11457,63.75915,1426905488
417,2,11.774,-23.10264,63.75466,1426905491
418,2,9.282,-23.09302,63.73452,1426905845
419,2,10.417,-23.08797,63.73301,1426906227
420,2,6.987,-23.0777,63.74785,1426906492
421,2,8.602,-23.16852,63.75742,1426907892
422,0,9.873,-22.98797,63.78539,1426908664
