latitude,longitude,depth,utc_timestamp
-21.25619,64.04906,1.667,1420124564
-21.17327,63.91296,6.785,1420160749
-21.94794,63.94791,13.292,1420181023
-22.95182,63.74311,7.715,1420183599
-21.24998,64.11183,5.792,1420240606
-21.39508,64.0531,4.693,1420294417
-21.25622,64.05124,3.093,1420313469
-23.44392,63.65428,7.966,1420319137
-23.48723,63.63906,7.714,1420329746
-23.37652,63.62883,0.135,1420329982
-23.39463,63.6343,9.995,1420330994
-23.47707,63.64317,11.154,1420335474
-23.41266,63.60298,10.005,1420335485
-23.3723,63.68757,1.158,1420336206
-21.17864,64.06491,5.462,1420349408
-21.26414,64.05568,5.937,1420354574
-21.43453,64.02089,7.28,1420356913
-21.26862,64.05162,5.571,1420364198
-21.15369,63.93864,7.724,1420426878
-21.49562,64.03677,2.827,1420495324
-21.39541,64.04289,2.887,1420557269
-21.16887,63.91594,5.417,1420565858
-21.08109,63.94886,6.762,1420566660
-21.13601,63.95572,8.307,1420570198
-21.63747,63.54586,13.288,1420595378
-21.4126,63.95964,5.521,1420837887
-21.24586,63.95351,6.584,1420865678
-21.18932,63.91034,5.45,1420876992
-21.18686,64.02493,2.622,1420879745
-21.32213,63.96898,3.773,1420891516
-21.24735,63.95915,7.47,1420911422
-21.52528,63.9962,5.741,1420911949
-21.33877,63.98394,1.572,1420940000
-21.23952,64.04712,4.175,1420957604
-21.41641,64.03301,7.271,1420970187
-21.57635,64.02956,6.53,1421131105
-21.5749,64.03287,6.451,1421132499
-21.39311,64.0539,4.688,1421190902
-22.05076,63.90522,8.172,1421295261
-23.27098,63.64642,10.858,1421317381
-21.23945,64.04982,4.574,1421333381
-22.01877,63.90844,5.96,1421340672
-22.04745,63.91305,7.572,1421341909
-21.22018,64.12339,5.425,1421346233
-22.02791,63.90931,6.834,1421348409
-22.04724,63.90737,8.23,1421354570
-22.04068,63.91008,7.344,1421370697
-21.18304,63.9255,7.382,1421371322
-22.03615,63.90605,7.782,1421385557
-22.03443,63.90767,6.897,1421392906
-22.04428,63.90093,7.225,1421420794
-22.00188,63.91809,9.013,1421436618
-22.08515,63.90335,5.14,1421438243
-22.76449,63.80735,5.968,1421447008
-22.7835,63.79625,6.491,1421447016
-22.77399,63.80192,6.102,1421447696
-22.78968,63.79327,6.518,1421447714
-22.76274,63.79466,6.12,1421447719
-22.78918,63.79643,6.287,1421451148
-22.04866,63.90711,8.196,1421481853
-21.43332,63.94512,8.219,1421488392
-21.17518,63.92043,6.278,1421492594
-21.4438,63.91959,7.355,1421546853
-21.29839,63.952,5.972,1421565683
-21.92763,63.89762,7.7,1421571167
-21.47136,63.92156,8.299,1421589306
-21.14019,63.94633,7.471,1421622009
-21.50595,63.99813,6.372,1421682430
-21.91516,63.90092,6.952,1421691960
-21.56311,63.94561,7.039,1421757837
-21.11017,64.07518,7.087,1421766680
-21.15077,64.03881,4.307,1421807493
-22.01906,63.91212,7.051,1421829941
-22.03765,63.90673,9.892,1421829955
-22.03073,63.90643,8.834,1421829983
-22.01764,63.90662,7.139,1421838402
-22,63.91049,9.026,1421846722
-21.14649,63.97799,6.842,1421846883
-22.0209,63.92619,2.235,1421897500
-22.00303,63.91708,6.079,1421897548
-22.00896,63.91488,7.266,1421897951
-21.5402,64.03159,5.05,1421955582
-21.52926,64.03892,4.422,1421956829
-21.55943,64.03012,5.499,1421957360
-21.53673,64.02963,5.107,1421960010
-21.54076,64.02068,4.143,1421960432
-21.54194,64.02805,4.807,1421962758
-21.54845,64.02438,5.22,1421962790
-21.5338,64.03146,4.777,1421967416
-21.53547,64.03249,4.952,1421968214
-21.53045,64.02645,3.837,1421968832
-21.51483,64.0341,4.227,1421969510
-21.54481,64.03535,5.254,1421969584
-21.5614,64.03036,5.679,1421969706
-21.52515,64.02615,3.871,1421970393
-21.53608,64.03659,5.072,1421970812
-21.34798,63.94949,7.483,1422005149
-21.3953,64.05408,3.433,1422111000
-21.25656,64.11349,8.632,1422149367
-21.25913,64.11344,8.341,1422149533
-21.54303,64.02821,5.956,1422256612
-21.38153,63.94414,6.145,1422476905
-21.72578,63.93592,10.311,1422499167
-22.62768,63.85585,4.963,1422516522
-21.38141,64.0533,2.827,1422519715
-23.28951,63.68375,5.005,1422525969
-23.25389,63.68841,5.005,1422530902
-23.26055,63.68988,7.219,1422535276
-21.23605,64.04707,5.86,1422535574
-21.75837,63.96093,7.793,1422560838
-21.76427,63.95811,9.386,1422560897
-21.76505,63.95565,9.838,1422560978
-21.77089,63.95636,9.29,1422561060
-21.75882,63.94952,8.327,1422561094
-21.75984,63.95816,10.098,1422561202
-21.76108,63.9578,9.828,1422561316
-21.76435,63.95565,9.475,1422561420
-21.72784,63.95982,0.919,1422561670
-21.75972,63.9542,9.289,1422561686
-21.7595,63.96262,4.184,1422562939
-21.76025,63.95378,6.436,1422566620
-23.29342,63.69817,10.145,1422568804
-23.28322,63.69795,11.886,1422569791
-21.76329,63.95825,10.325,1422571166
-23.30609,63.70049,11.596,1422571386
-21.75046,63.95785,6.37,1422572522
-21.76245,63.95599,9.405,1422572952
-23.25707,63.71652,19.315,1422573677
-23.26567,63.69149,12.369,1422573878
-23.28994,63.69272,12.765,1422573911
-21.7679,63.96416,7.289,1422574062
-23.26884,63.70534,12.464,1422574328
-23.29461,63.68449,10.513,1422574659
-23.20497,63.65569,13.987,1422574957
-23.26292,63.69787,14.39,1422575409
-23.28457,63.69781,13.176,1422575656
-23.26223,63.70225,14.825,1422575775
-23.26362,63.71112,7.266,1422576264
-23.29521,63.67605,5.005,1422576688
-23.08952,63.60767,11.966,1422577433
-23.28262,63.69711,10.275,1422578053
-23.27832,63.68685,8.549,1422578311
-23.2474,63.66893,9.621,1422578913
-23.25707,63.72338,11.849,1422579235
-23.28312,63.69581,11.448,1422580837
-23.27386,63.68325,10.834,1422580951
-23.25457,63.6884,14.583,1422581970
-23.25204,63.66321,8.9,1422582426
-21.75677,63.96026,8.86,1422582711
-22.85251,63.77524,7.576,1422582805
-22.84934,63.76708,6.125,1422582874
-23.25362,63.67294,14.869,1422583985
-23.30157,63.69188,23.937,1422584175
-21.76733,63.95939,10.127,1422584567
-23.27863,63.70471,12.721,1422585791
-21.75699,63.96083,8.056,1422589459
-21.77734,63.95431,10.626,1422589464
-23.26348,63.70234,12.581,1422589675
-21.75963,63.95935,9.617,1422590005
-23.3025,63.68939,10.713,1422591344
-23.24462,63.6928,9.629,1422591504
-21.75977,63.959,9.553,1422592200
-21.74699,63.95831,8.159,1422593340
-21.75086,63.96553,8.772,1422593343
-23.28106,63.70388,11.994,1422596203
-23.27144,63.69835,12.328,1422596267
-21.76893,63.95571,10.347,1422604337
-23.27206,63.70835,14.068,1422607286
-21.69633,63.97253,0.008,1422608095
-21.75706,63.95567,7.756,1422609670
-21.22446,64.04947,6.746,1422613063
-23.28475,63.70223,6.776,1422613907
-21.76496,63.95872,10.057,1422617529
-22.10555,63.87568,5.393,1422624046
-21.1598,63.91925,8.147,1422639927
-23.2731,63.69486,11.592,1422640626
-23.25266,63.69398,12.274,1422640930
-23.2562,63.70327,7.054,1422642071
-23.28802,63.67155,9.05,1422643518
-23.24569,63.6636,11.945,1422644374
-21.17375,63.90922,8.548,1422644376
-21.75855,63.95695,10.159,1422659351
-22.08627,63.91,5.027,1422675415
-22.07623,63.90844,4.851,1422682875
-22.06433,63.88594,4.243,1422683227
-21.23486,64.06478,7.689,1422685693
-21.24038,64.06466,5.329,1422686022
-21.77528,63.95794,10.081,1422690478
-23.13955,63.62951,0.082,1422695227
-21.76143,63.95839,9.04,1422695842
-21.41758,64.0167,4.587,1422697049
-21.4133,64.02261,2.947,1422697052
-21.41151,64.02197,4.444,1422697449
-21.41437,64.02047,4.876,1422697700
-21.4134,64.02193,4.838,1422697872
-21.41653,64.02184,4.387,1422697983
-21.41293,64.02136,4.597,1422698069
-21.41199,64.02079,4.308,1422698109
-21.54245,64.035,5.798,1422699113
-21.40475,64.01992,2.054,1422700524
-22.79067,63.80449,6.864,1422716622
-21.37509,63.94415,7.469,1422736204
-22.08469,63.8816,3.238,1422739121
-22.06783,63.88308,3.398,1422740754
-21.16627,63.92086,5.959,1422745579
-22.71836,63.83656,0.209,1422794766
-21.68251,63.94679,4.209,1422801091
-21.7626,63.95462,10.421,1422812713
-21.76889,63.9521,7.679,1422834489
-22.79943,63.76847,4.764,1422865145
-22.23019,63.90346,6.248,1422895580
-21.19436,64.06001,4.81,1422898889
-22.65995,63.86013,3.783,1422900363
-21.76811,63.95469,7.825,1422904929
-21.77477,63.95473,7.321,1422929177
-21.99604,63.9256,9.249,1422934533
-21.16911,63.90207,3.815,1422935969
-21.77679,63.95224,8.201,1422936742
-21.16501,64.05859,4.434,1422946503
-22.80541,63.82516,3.111,1422952606
-21.18365,64.06154,5.46,1422964350
-21.76454,63.95699,9.511,1422981443
-21.15578,64.03841,4.273,1423018650
-21.11174,64.04446,5.311,1423044217
-21.15359,63.92797,6.38,1423111860
-23.98994,63.6709,10.005,1423179544
-21.15094,64.03773,3.745,1423242212
-22.0607,63.86821,3.443,1423260619
-21.32664,63.94747,5.7,1423317767
-21.15471,63.9249,1.336,1423357108
-21.26394,64.05065,3.86,1423427796
-21.39985,64.02016,3.785,1423436733
-21.96042,63.88738,6.808,1423476274
-21.54607,63.97729,6.115,1423496079
